Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),Jalandhar,Delhi,400,PAP Chowk,ISBT Kashmiri Gate,7 Seats available,21:05,04:45,07h 40m,4.5,https://www.redbus.in/bus-tickets/jalandhar-to-delhi?fromCityId=737&toCityId=733&fromCityName=Jalandhar&toCityName=Delhi&busType=Any&onward=31-Aug-2024
IntrCity SmartBus,A/C Seater / Sleeper (2+1),Jalandhar,Delhi,431,PAP Chowk,Red Fort (Lal Quila),10 Seats available,22:30,05:40,07h 10m,4.6,https://www.redbus.in/bus-tickets/jalandhar-to-delhi?fromCityId=737&toCityId=733&fromCityName=Jalandhar&toCityName=Delhi&busType=Any&onward=31-Aug-2024
AdNew Navyug Travels,A/C Sleeper (2+1),Jalandhar,Delhi,608,Lovely Professional University,Shop no 17 old punjab bus sta...,22 Seats available,21:50,05:30,07h 40m,4.1,https://www.redbus.in/bus-tickets/jalandhar-to-delhi?fromCityId=737&toCityId=733&fromCityName=Jalandhar&toCityName=Delhi&busType=Any&onward=31-Aug-2024
,,Jalandhar,Delhi,,,,,,,,,https://www.redbus.in/bus-tickets/jalandhar-to-delhi?fromCityId=737&toCityId=733&fromCityName=Jalandhar&toCityName=Delhi&busType=Any&onward=31-Aug-2024
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),Delhi,Jalandhar,1007,Karnal by pass delhi,Bus stand,38 Seats available,21:50,06:20,08h 30m,3.5,https://www.redbus.in/bus-tickets/delhi-to-jalandhar?fromCityId=733&toCityId=737&fromCityName=Delhi&toCityName=Jalandhar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Zingbus Plus,Scania A/C Semi Sleeper (2+2),Delhi,Jalandhar,359,RK Ashram,Lovely Professional University,20 Seats available,22:15,05:45,07h 30m,4.6,https://www.redbus.in/bus-tickets/delhi-to-jalandhar?fromCityId=733&toCityId=737&fromCityName=Delhi&toCityName=Jalandhar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),Delhi,Jalandhar,570,ISBT Kashmiri Gate,PAP Chowk,11 Seats available,23:40,07:30,07h 50m,4.4,https://www.redbus.in/bus-tickets/delhi-to-jalandhar?fromCityId=733&toCityId=737&fromCityName=Delhi&toCityName=Jalandhar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Delhi,Jalandhar,,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-jalandhar?fromCityId=733&toCityId=737&fromCityName=Delhi&toCityName=Jalandhar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Delhi,Jalandhar,,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-jalandhar?fromCityId=733&toCityId=737&fromCityName=Delhi&toCityName=Jalandhar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Indo Canadian Transport Pvt. Ltd.,A/C Semi Sleeper (2+2),Patiala,Delhi Airport,2500,Pick by shared cab from patia...,"Igi, terminal-3, departure ga...",51 Seats available,20:30,03:00,06h 30m,4.6,https://www.redbus.in/bus-tickets/patiala-to-delhi-airport?fromCityId=82742&toCityId=94113&fromCityName=Patiala&toCityName=Delhi%20Airport&busType=Any&onward=31-Aug-2024
