Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
APSRTC - 3909,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,444,Jeedimetla,Benz Circle,24 Seats available,22:30,05:35,07h 05m,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
APSRTC - 1445,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,414,Mehdipatnam,Benz Circle,27 Seats available,22:30,05:30,07h 00m,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
APSRTC - 3557,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),Hyderabad,Vijayawada,633,Miyapur,IBRAHIMPATNAM-VJA,43 Seats available,22:30,04:35,06h 05m,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
APSRTC - 35106,VENNELA (A.C. SLEEPER),Hyderabad,Vijayawada,737,Shamshabad,IBRAHIMPATNAM-VJA,11 Seats available,22:40,04:05,05h 25m,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
APSRTC - 3516,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Hyderabad,Vijayawada,480,Miyapur,Benz Circle,27 Seats available,22:45,06:05,07h 20m,2.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
APSRTC - 3279,VENNELA (A.C. SLEEPER),Hyderabad,Vijayawada,795,Bhel,IBRAHIMPATNAM-VJA,17 Seats available,22:45,05:00,06h 15m,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,530,Kondapur,Benz Circle,24 Seats available,22:45,05:35,06h 50m,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),Hyderabad,Vijayawada,664,Kondapur,Benz Circle,18 Seats available,23:00,06:30,07h 30m,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,345,Chanda Nagar,Benz Circle,24 Seats available,22:25,06:00,07h 35m,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),Hyderabad,Vijayawada,328,Kondapur,Benz Circle,22 Seats available,21:55,05:20,07h 25m,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
FRESHBUS,Electric A/C Seater (2+2),Hyderabad,Vijayawada,500,Ramoji Film City,Benz Circle,16 Seats available,17:55,23:10,05h 15m,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Svkdt travels,A/C Sleeper (2+1),Hyderabad,Vijayawada,690,Beeramguda,Benz Circle,17 Seats available,22:20,05:50,07h 30m,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,394,Kondapur,Benz Circle,20 Seats available,22:25,06:05,07h 40m,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,499,Ramachandra Puram,Benz Circle,17 Seats available,21:50,04:35,06h 45m,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Svkdt travels,A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,449,Beeramguda,Payakapuram,12 Seats available,22:20,05:55,07h 35m,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,AC Sleeper (2+1),Hyderabad,Vijayawada,595,Kondapur,Benz Circle,20 Seats available,22:10,06:05,07h 55m,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Svkdt travels,A/C Sleeper (2+1),Hyderabad,Vijayawada,590,Beeramguda,Benz Circle,18 Seats available,22:20,05:50,07h 30m,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,AC Sleeper (2+1),Hyderabad,Vijayawada,658,Serilingampally,Benz Circle,16 Seats available,22:45,06:45,08h 00m,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Zingbus Plus,A/C Sleeper (2+1),Hyderabad,Vijayawada,478,Habsiguda,Benz Circle,15 Seats available,17:55,23:40,05h 45m,4.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Yolo Bus,A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,450,Miyapur,Benz Circle,18 Seats available,22:15,05:24,07h 09m,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
IntrCity SmartBus,A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,324,Kondapur,Benz Circle,28 Seats available,23:15,06:25,07h 10m,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Tirumala Xpress,A/C Sleeper (2+1),Hyderabad,Vijayawada,575,Miyapur,Benz Circle,24 Seats available,21:35,05:50,08h 15m,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,510,Serilingampally,Benz Circle,23 Seats available,21:08,04:20,07h 12m,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
LVR Travels,Non A/C Seater / Sleeper (2+1),Hyderabad,Vijayawada,610,Beeramguda,Benz Circle,12 Seats available,22:20,05:45,07h 25m,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sri Durga Malleswari Travels,A/C Sleeper (2+1),Hyderabad,Vijayawada,696,Ramachandra Puram,Benz Circle,13 Seats available,21:50,05:25,07h 35m,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada?fromCityId=124&toCityId=134&fromCityName=Hyderabad&toCityName=Vijayawada&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
