Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Maa Chandi Travels,A/C Seater / Sleeper (2+2),Kolkata,Digha,370,Esplanade,Bus Stand,26 Seats available,23:57,05:10,05h 13m,4.3,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels (Bhorpet Travels),AC Seater (2+2),Kolkata,Digha,394,Esplanade,New Digha Bus Stand,19 Seats available,23:55,04:35,04h 40m,4.0,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Parameswar Travels,A/C Seater Push Back (2+3),Kolkata,Digha,340,Esplanade,New Digha,38 Seats available,23:45,05:00,05h 15m,3.1,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels (Mayuri),A/C Seater (2+2),Kolkata,Digha,347,Esplanade,old digha bus stand,6 Seats available,23:15,04:00,04h 45m,4.8,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
City Express (Shinjini),AC Seater (2+3),Kolkata,Digha,480,Esplanade,Bus Stand,35 Seats available,23:50,04:55,05h 05m,3.0,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels(Angel),A/C Seater (2+2),Kolkata,Digha,347,Esplanade,New Digha,24 Seats available,23:58,05:10,05h 12m,3.7,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Parameswar Travels,A/C Seater Push Back (2+3),Kolkata,Digha,285,Esplanade,New Digha,43 Seats available,23:59,05:00,05h 01m,2.7,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),Kolkata,Digha,394,Karunamoyee,New Digha Bus Stand,34 Seats available,22:10,05:40,07h 30m,3.7,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Snemita Paribahan (Bhorpet),AC Seater (2+2),Kolkata,Digha,480,Esplanade,Bus Stand,29 Seats available,23:55,04:45,04h 50m,3.6,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Parameswar Travels,A/C Seater Push Back (2+3),Kolkata,Digha,285,Esplanade,New Digha,49 Seats available,23:55,05:00,05h 05m,1.9,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Parameswar Travels,A/C Seater Push Back (2+3),Kolkata,Digha,340,Esplanade,New Digha,51 Seats available,21:50,03:45,05h 55m,2.6,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels (Maity),A/C Seater (2+3),Kolkata,Digha,394,Esplanade,New Digha,17 Seats available,00:55,05:50,04h 55m,2.8,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Snemita Paribahan(Shinjini),A/C Seater (2+3),Kolkata,Digha,480,Esplanade,Bus Stand,20 Seats available,23:50,04:30,04h 40m,2.6,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Haimanti Bus Service,AC Seater (2+3),Kolkata,Digha,350,Esplanade,Digha old Bus Stand,20 Seats available,19:50,01:30,05h 40m,2.3,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Snemita Paribahan (ANGEL),A/C Seater Push Back (2+2),Kolkata,Digha,430,Esplanade,Bus Stand,25 Seats available,23:58,05:00,05h 02m,2.1,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Arunita Paribahan,AC Seater (2+2),Kolkata,Digha,579,Esplanade,Bus Stand,21 Seats available,23:45,04:45,05h 00m,3.8,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Snemita Paribahan (Shinjini),AC Seater (2+2),Kolkata,Digha,470,Esplanade,Bus Stand,16 Seats available,23:45,04:35,04h 50m,3.7,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Basu Travels,A/C Seater Push Back (2+3),Kolkata,Digha,300,Esplanade,Bus Stand,16 Seats available,23:30,04:30,05h 00m,4.0,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Santosh Bus Service,A/C Seater / Sleeper (2+2),Kolkata,Digha,462,Esplanade,Bus Stand,45 Seats available,23:59,05:30,05h 31m,2.5,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),Kolkata,Digha,380,Esplanade,Old Digha Shani Mandir,32 Seats available,23:45,04:15,04h 30m,3.7,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels (Santosh),A/C Seater / Sleeper (2+2),Kolkata,Digha,380,Esplanade,New Digha Bus Stand,20 Seats available,01:20,05:30,04h 10m,3.9,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
City Express (Shinjini),AC Seater (2+2),Kolkata,Digha,470,Esplanade,Old Digha Petrol Pump,12 Seats available,23:45,04:35,04h 50m,3.9,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Sagufta Travels (Sagar Kanya),A/C Seater Push Back (2+3),Kolkata,Digha,299,Esplanade,New Digha,17 Seats available,23:30,04:05,04h 35m,2.6,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Friends Travels,A/C Seater (2+3),Kolkata,Digha,350,Esplanade,old digha bus stand,26 Seats available,23:55,05:10,05h 15m,2.8,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Basu Travels,A/C Seater Push Back (2+3),Kolkata,Digha,469,Esplanade,Bus Stand,21 Seats available,23:55,05:00,05h 05m,2.3,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Bengal Surface Transport,A/C Seater Push Back (2+3),Kolkata,Digha,399,Esplanade,Bus Stand,20 Seats available,23:59,05:00,05h 01m,2.0,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
