Bus_Name,Bus_Type,Start_From,Destination,Price,Starting_Point,Ending_Point,Seat_Available,Start_Time,Reach_Time,Total_Travel_Time,Bus_Rating,Links
APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,Rtc bus stand,Kukatpally,40 Seats available,18:30,00:30,06:00,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,30 Seats available,19:00,02:42,07:42,3.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,25 Seats available,20:20,04:10,07:50,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,670.0,Rtc bus stand,Hayathnagar,35 Seats available,20:30,01:05,04:35,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,24 Seats available,21:00,04:41,07:41,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Hayathnagar,25 Seats available,21:00,03:40,06:40,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Kukatpally,19 Seats available,21:40,05:20,07:40,2.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35179,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,781.0,Rtc bus stand,Hayathnagar,17 Seats available,21:45,02:20,04:35,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Hayathnagar,25 Seats available,21:45,02:50,05:05,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Hayathnagar,19 Seats available,21:52,04:00,06:08,4.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 40568,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Edupugallu,Kukatpally,22 Seats available,21:53,06:00,08:07,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4320,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,Rtc bus stand,Kukatpally,26 Seats available,22:00,04:25,06:25,3.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4048,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Hayathnagar,24 Seats available,22:00,04:20,06:20,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3908,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Auto Nagar,Hayathnagar,27 Seats available,22:00,04:25,06:25,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,Rtc bus stand,Kukatpally,39 Seats available,22:00,03:42,05:42,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4792,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,Enikepadu,Kukatpally,30 Seats available,22:05,05:10,07:05,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Kukatpally,8 Seats available,22:05,05:20,07:15,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35118,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,Enikepadu,Kukatpally,31 Seats available,22:10,04:50,06:40,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35265,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,781.0,Rtc bus stand,Hayathnagar,8 Seats available,22:15,02:50,04:35,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),Vijayawada,Hyderabad,607.0,Auto Nagar,Kukatpally,10 Seats available,22:15,05:30,07:15,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,PORANKI,Kukatpally,5 Seats available,22:15,04:40,06:25,3.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3635,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Kukatpally,12 Seats available,22:20,04:55,06:35,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3943,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Kukatpally,15 Seats available,22:25,05:25,07:00,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,Rtc bus stand,Kukatpally,39 Seats available,22:30,04:10,05:40,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),Vijayawada,Hyderabad,607.0,PORANKI,Hayathnagar,9 Seats available,22:30,04:25,05:55,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 35063,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Kukatpally,22 Seats available,22:30,06:10,07:40,3.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 95660,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,446.0,IBRAHIMPATNAM-VJA,Kukatpally,7 Seats available,22:40,05:15,06:35,2.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3838,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,839.0,Rtc bus stand,Kukatpally,15 Seats available,22:45,04:20,05:35,3.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),Vijayawada,Hyderabad,607.0,Rtc bus stand,Vanasthalipuram,23 Seats available,22:45,04:16,05:31,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3609,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Edupugallu,Kukatpally,24 Seats available,22:53,06:40,07:47,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3961,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,PORANKI,Kukatpally,24 Seats available,22:55,05:25,06:30,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),Vijayawada,Hyderabad,639.0,PORANKI,Kukatpally,26 Seats available,22:55,05:35,06:40,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3694,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Kukatpally,13 Seats available,22:55,06:15,07:20,4.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3968,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,PORANKI,Kukatpally,17 Seats available,22:55,05:05,06:10,2.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3900,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Hayathnagar,21 Seats available,23:00,04:20,05:20,4.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3569,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,Rtc bus stand,Hayathnagar,23 Seats available,23:00,03:46,04:46,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4893,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Kukatpally,19 Seats available,23:00,05:20,06:20,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3888,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,781.0,Rtc bus stand,Hayathnagar,19 Seats available,23:00,03:35,04:35,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3278,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,839.0,Rtc bus stand,Kukatpally,15 Seats available,23:05,04:25,05:20,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4790,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,Enikepadu,Kukatpally,25 Seats available,23:05,05:20,06:15,4.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 2785,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Kukatpally,20 Seats available,23:15,05:07,05:52,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3976,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Kukatpally,9 Seats available,23:15,05:50,06:35,2.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4352,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Kukatpally,21 Seats available,23:15,05:30,06:15,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3951,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,PORANKI,Kukatpally,20 Seats available,23:25,06:10,06:45,4.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 23702,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,436.0,Rtc bus stand,Hayathnagar,22 Seats available,23:30,04:30,05:00,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3545,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),Vijayawada,Hyderabad,720.0,Rtc bus stand,Kukatpally,42 Seats available,23:30,05:35,06:05,4.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4354,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Rtc bus stand,Kukatpally,24 Seats available,23:30,05:44,06:14,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4814,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,469.0,Enikepadu,Hayathnagar,13 Seats available,23:40,05:10,05:30,4.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4369,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,Rtc bus stand,Kukatpally,22 Seats available,23:45,05:44,05:59,3.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3057,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,781.0,Rtc bus stand,Hayathnagar,21 Seats available,23:45,04:45,05:00,4.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 3535,VENNELA (A.C. SLEEPER),Vijayawada,Hyderabad,839.0,Rtc bus stand,Kukatpally,19 Seats available,23:50,05:25,05:35,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
APSRTC - 4995,INDRA(A.C. Seater),Vijayawada,Hyderabad,567.0,Rtc bus stand,Kukatpally,24 Seats available,00:15,05:40,05:25,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 97666,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,21 Seats available,17:35,23:40,06:05,3.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 4080,RAJDHANI (A.C. Semi Sleeper),Vijayawada,Hyderabad,480.0,Sithara Center,Kukatpally,35 Seats available,17:45,23:20,05:35,2.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 40962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,440.0,Sithara Center,Hayathnagar,33 Seats available,17:55,22:40,04:45,3.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 1412,RAJDHANI (A.C. Semi Sleeper),Vijayawada,Hyderabad,480.0,Sithara Center,Kukatpally,30 Seats available,18:05,23:40,05:35,2.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 7663,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,PNBS-VJA,Hayathnagar,29 Seats available,18:05,22:55,04:50,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 40931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Hayathnagar,33 Seats available,18:15,23:00,04:45,2.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),Vijayawada,Hyderabad,533.0,Sithara Center,Hayathnagar,35 Seats available,18:25,22:50,04:25,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 7772,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,352.0,PNBS-VJA,Hayathnagar,31 Seats available,18:30,00:15,05:45,3.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 40910,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,33 Seats available,18:35,00:35,06:00,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,33 Seats available,18:55,01:00,06:05,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 1592,RAJADHANI AC (CONVERTED METRO LUXURY),Vijayawada,Hyderabad,480.0,Sithara Center,Kukatpally,36 Seats available,19:05,00:35,05:30,1.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Central Bus Station (CBS),33 Seats available,19:15,00:40,05:25,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 30110,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),Vijayawada,Hyderabad,533.0,Sithara Center,Kukatpally,40 Seats available,19:25,01:00,05:35,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,33 Seats available,19:35,01:40,06:05,3.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 1448,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),Vijayawada,Hyderabad,533.0,Sithara Center,Kukatpally,41 Seats available,19:45,01:20,05:35,3.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,31 Seats available,19:55,02:00,06:05,2.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 1637,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),Vijayawada,Hyderabad,533.0,Sithara Center,Kukatpally,40 Seats available,20:05,01:40,05:35,3.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Vanasthalipuram,33 Seats available,20:15,00:55,04:40,3.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 30962,RAJDHANI (A.C. Semi Sleeper),Vijayawada,Hyderabad,480.0,Sithara Center,Kukatpally,36 Seats available,20:25,02:00,05:35,2.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,33 Seats available,20:35,02:30,05:55,4.1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 1450,RAJADHANI AC (CONVERTED METRO LUXURY),Vijayawada,Hyderabad,480.0,Sithara Center,Kukatpally,36 Seats available,20:45,02:15,05:30,2.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 7770,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,352.0,PNBS-VJA,Hayathnagar,27 Seats available,20:45,01:45,05:00,3.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 13762,eGARUDA,Vijayawada,Hyderabad,533.0,Gollapudi,Kukatpally,32 Seats available,20:50,03:10,06:20,4.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
TSRTC - 41562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Vijayawada,Hyderabad,396.0,Sithara Center,Kukatpally,33 Seats available,20:55,03:00,06:05,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=31-Aug-2024
